OBJECTID,AREA,PERIMETER,ZN10OAKS_,ZN10OAKS_I,COMMENT,FEAT_NAME,DATAFILE,UNFILT_POS,GPS_HEIGHT,FILESOURCE,MAX_PDOP,CORR_TYPE,STD_DEV,HORZ_PREC,VERT_PREC,POINT_X,POINT_Y,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,FID_1,FID1,AREA_1,PERIMETE_1,ZN10OAKS1,ZN10OAKS_1,COMMENT_1,FEAT_NAM_1,DATAFILE_1,UNFILT_P_1,GPS_HEIG_1,FILESOUR_1,MAX_PDOP_1,CORR_TYP_1,STD_DEV_1,HORZ_PRE_1,VERT_PRE_1,POINT_X_1,POINT_Y_1,Age,Age_2,cwd,fog,ppt,tmn,tmx
1,0,0,414,414,7 STEMS 5 TO 20 IN DBH APPROX,Point_generic,soledad3.ssf,64,453.459,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.109449,33.95060861, ,0,0,0,0,0,17,0,0,414,414,7 STEMS 5 TO 20 IN DBH APPROX,Point_generic,soledad3.ssf,64,453.459,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-10116.58767,-451640.1213,unknown,unknown,845.1630249,0.348405987,580.5969849,7.552800179,19.75580025
2,0,0,496,496,1IND 10INCH DBH APPROX,Point_generic,arlingtn.ssf,41,339.952,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.1226906,33.94595404, ,0,0,0,0,1,18,0,0,496,496,1IND 10INCH DBH APPROX,Point_generic,arlingtn.ssf,41,339.952,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11341.34813,-452154.8889,unknown,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
3,0,0,497,497,1IND 20IN DBH HORIZ PILLBUGS,Point_generic,arlingtn.ssf,53,340.547,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.1226827,33.94594934, ,0,0,0,0,2,19,0,0,497,497,1IND 20IN DBH HORIZ PILLBUGS,Point_generic,arlingtn.ssf,53,340.547,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11340.61343,-452155.4104,unknown,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
4,0,0,498,498,1IND 25IN DBH ROOTS EXPOSED,Point_generic,arlingtn.ssf,36,341.469,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.1226749,33.94594015, ,0,0,0,0,3,20,0,0,498,498,1IND 25IN DBH ROOTS EXPOSED,Point_generic,arlingtn.ssf,36,341.469,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11339.8934,-452156.4314,unknown,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
5,0,0,499,499,4STEM BIG 20 TO 30 DBH GROWUPCYN,Point_generic,arlingtn.ssf,101,345.827,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.1227403,33.94590562, ,0,0,0,0,4,21,0,0,499,499,4STEM BIG 20 TO 30 DBH GROWUPCYN,Point_generic,arlingtn.ssf,101,345.827,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11345.94329,-452160.2536,unknown,unknown,840.5969849,0.295453012,577.9069824,7.487800121,19.7317009
6,0,0,501,501,STUMP OR ROOT SPROUT 2,Point_generic,arlingtn.ssf,38,344.892,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.1227078,33.94592514, ,0,0,0,0,5,23,0,0,501,501,STUMP OR ROOT SPROUT 2,Point_generic,arlingtn.ssf,38,344.892,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11342.94223,-452158.0918,sprout,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
7,0,0,4,4,QTA QTY 30 TO 50 STEMS,Point_generic,blk91301.ssf,14,347.079,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0855681,33.97670606, ,0,0,0,0,6,27,0,0,4,4,QTA QTY 30 TO 50 STEMS,Point_generic,blk91301.ssf,14,347.079,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7906.370763,-448747.7191,adult,young,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
8,0,0,5,5,QTB,Point_generic,blk91301.ssf,10,348.285,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0855148,33.97670254, ,0,0,0,0,7,28,0,0,5,5,QTB,Point_generic,blk91301.ssf,10,348.285,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7901.444993,-448748.1136,unknown,unknown,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
9,0,0,6,6,QTB,Point_generic,blk91301.ssf,10,349.346,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0854525,33.97670557, ,0,0,0,0,8,29,0,0,6,6,QTB,Point_generic,blk91301.ssf,10,349.346,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7895.685446,-448747.7826,unknown,unknown,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
10,0,0,7,7,QTSE,Point_generic,blk91301.ssf,10,348.743,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0854736,33.97673988, ,0,0,0,0,9,30,0,0,7,7,QTSE,Point_generic,blk91301.ssf,10,348.743,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7897.636108,-448743.9757,seedling,unknown,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
11,0,0,8,8,QTB,Point_generic,blk91301.ssf,10,369.558,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0843475,33.9769025, ,0,0,0,0,10,31,0,0,8,8,QTB,Point_generic,blk91301.ssf,10,369.558,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7793.549875,-448726.0307,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
12,0,0,9,9,QTB,Point_generic,blk91301.ssf,10,369.064,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0843391,33.97691132, ,0,0,0,0,11,32,0,0,9,9,QTB,Point_generic,blk91301.ssf,10,369.064,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7792.771211,-448725.0537,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
13,0,0,11,11,QTSE,Point_generic,blk91301.ssf,10,362.872,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0840397,33.97688619, ,0,0,0,0,12,34,0,0,11,11,QTSE,Point_generic,blk91301.ssf,10,362.872,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7765.104614,-448727.8651,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
14,0,0,12,12,QTB,Point_generic,blk91301.ssf,10,362.505,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0840537,33.97691132, ,0,0,0,0,13,35,0,0,12,12,QTB,Point_generic,blk91301.ssf,10,362.505,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7766.397723,-448725.0774,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
15,0,0,13,13,QTSE,Point_generic,blk91301.ssf,10,362.649,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0840695,33.97692296, ,0,0,0,0,14,36,0,0,13,13,QTSE,Point_generic,blk91301.ssf,10,362.649,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7767.85972,-448723.7846,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
16,0,0,14,14,QTB,Point_generic,blk91301.ssf,10,362.406,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0840711,33.97693652, ,0,0,0,0,15,37,0,0,14,14,QTB,Point_generic,blk91301.ssf,10,362.406,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7768.003054,-448722.2805,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
17,0,0,15,15,QTB,Point_generic,blk91301.ssf,10,362.018,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0840753,33.97695014, ,0,0,0,0,16,38,0,0,15,15,QTB,Point_generic,blk91301.ssf,10,362.018,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7768.396165,-448720.7691,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
18,0,0,16,16,QTB,Point_generic,blk91301.ssf,10,361.287,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0840878,33.97698199, ,0,0,0,0,17,39,0,0,16,16,QTB,Point_generic,blk91301.ssf,10,361.287,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7769.542386,-448717.2358,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
19,0,0,17,17,QTSE,Point_generic,blk91301.ssf,10,363.257,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.083989,33.97684443, ,0,0,0,0,18,40,0,0,17,17,QTSE,Point_generic,blk91301.ssf,10,363.257,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7760.428401,-448732.5019,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
20,0,0,18,18,QTSE,Point_generic,blk91301.ssf,10,363.51,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0839844,33.97682178, ,0,0,0,0,19,41,0,0,18,18,QTSE,Point_generic,blk91301.ssf,10,363.51,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7760.002178,-448735.0142,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
21,0,0,19,19,QTSE,Point_generic,blk91301.ssf,10,362.985,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0838519,33.97676005, ,0,0,0,0,20,42,0,0,19,19,QTSE,Point_generic,blk91301.ssf,10,362.985,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7747.766427,-448741.8725,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
22,0,0,20,20,QTB,Point_generic,blk91301.ssf,10,362.7,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0838274,33.97676623, ,0,0,0,0,21,43,0,0,20,20,QTB,Point_generic,blk91301.ssf,10,362.7,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7745.496434,-448741.1892,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
23,0,0,21,21,QTB,Point_generic,blk91301.ssf,10,360.729,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837856,33.97678101, ,0,0,0,0,22,44,0,0,21,21,QTB,Point_generic,blk91301.ssf,10,360.729,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.636001,-448739.5526,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
24,0,0,22,22,QTSE,Point_generic,blk91301.ssf,10,361.056,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837975,33.97676777, ,0,0,0,0,23,45,0,0,22,22,QTSE,Point_generic,blk91301.ssf,10,361.056,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7742.741552,-448741.02,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
25,0,0,23,23,QTSE,Point_generic,blk91301.ssf,10,360.578,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837702,33.97677614, ,0,0,0,0,24,46,0,0,23,23,QTSE,Point_generic,blk91301.ssf,10,360.578,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7740.214449,-448740.0942,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
26,0,0,24,24,QTSE,Point_generic,blk91301.ssf,10,359.365,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837852,33.97679227, ,0,0,0,0,25,47,0,0,24,24,QTSE,Point_generic,blk91301.ssf,10,359.365,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.599335,-448738.3037,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
27,0,0,25,25,QTSE,Point_generic,blk91301.ssf,10,359.093,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837998,33.97679938, ,0,0,0,0,26,48,0,0,25,25,QTSE,Point_generic,blk91301.ssf,10,359.093,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7742.95111,-448737.5142,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
28,0,0,26,26,QTA QTY POSSIBLY 100 STEMS,Point_generic,blk91301.ssf,35,358.762,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837829,33.97680123, ,0,0,0,0,27,49,0,0,26,26,QTA QTY POSSIBLY 100 STEMS,Point_generic,blk91301.ssf,35,358.762,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.38267,-448737.3102,adult,young,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
29,0,0,27,27,QTB,Point_generic,blk91301.ssf,10,358.209,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837658,33.97680533, ,0,0,0,0,28,50,0,0,27,27,QTB,Point_generic,blk91301.ssf,10,358.209,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7739.806897,-448736.8565,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
30,0,0,28,28,3 QTSE,Point_generic,blk91301.ssf,10,358.279,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837634,33.97679851, ,0,0,0,0,29,51,0,0,28,28,3 QTSE,Point_generic,blk91301.ssf,10,358.279,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7739.579119,-448737.6131,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
31,0,0,29,29,QTSE,Point_generic,blk91301.ssf,13,358.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837235,33.97679757, ,0,0,0,0,30,52,0,0,29,29,QTSE,Point_generic,blk91301.ssf,13,358.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7735.894907,-448737.7211,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
32,0,0,30,30,QTA,Point_generic,blk91301.ssf,5,359.047,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836742,33.9767964, ,0,0,0,0,31,53,0,0,30,30,QTA,Point_generic,blk91301.ssf,5,359.047,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.336475,-448737.8549,adult,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
33,0,0,31,31,QTB,Point_generic,blk91301.ssf,10,361.032,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836962,33.97676537, ,0,0,0,0,32,54,0,0,31,31,QTB,Point_generic,blk91301.ssf,10,361.032,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.374911,-448741.2948,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
34,0,0,32,32,QTB,Point_generic,blk91301.ssf,10,361.431,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0837344,33.97675501, ,0,0,0,0,33,55,0,0,32,32,QTB,Point_generic,blk91301.ssf,10,361.431,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7736.908455,-448742.441,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
35,0,0,33,33,QTSE,Point_generic,blk91301.ssf,10,361.823,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836994,33.97674967, ,0,0,0,0,34,56,0,0,33,33,QTSE,Point_generic,blk91301.ssf,10,361.823,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.676019,-448743.0358,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
36,0,0,34,34,QTSE,Point_generic,blk91301.ssf,10,363.388,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.083694,33.97673151, ,0,0,0,0,35,57,0,0,34,34,QTSE,Point_generic,blk91301.ssf,10,363.388,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.172685,-448745.0504,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
37,0,0,35,35,QTSE,Point_generic,blk91301.ssf,10,362.93,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836749,33.97673557, ,0,0,0,0,36,58,0,0,35,35,QTSE,Point_generic,blk91301.ssf,10,362.93,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.409579,-448744.6021,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
38,0,0,36,36,QTB,Point_generic,blk91301.ssf,10,361.587,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0835976,33.97672022, ,0,0,0,0,37,59,0,0,36,36,QTB,Point_generic,blk91301.ssf,10,361.587,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7724.272486,-448746.3114,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
39,0,0,37,37,QTSE,Point_generic,blk91301.ssf,11,360.814,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0835893,33.97672678, ,0,0,0,0,38,60,0,0,37,37,QTSE,Point_generic,blk91301.ssf,11,360.814,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7723.501156,-448745.5841,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
40,0,0,38,38,QTSE OR QTB,Point_generic,blk91301.ssf,12,359.144,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0835898,33.97675158, ,0,0,0,0,39,61,0,0,38,38,QTSE OR QTB,Point_generic,blk91301.ssf,12,359.144,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7723.545381,-448742.833,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
41,0,0,39,39,QTSE,Point_generic,blk91301.ssf,10,357.89,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.083563,33.97676447, ,0,0,0,0,40,62,0,0,39,39,QTSE,Point_generic,blk91301.ssf,10,357.89,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7721.066056,-448741.4059,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
42,0,0,40,40,QTSE,Point_generic,blk91301.ssf,10,357.141,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0835538,33.97677552, ,0,0,0,0,41,63,0,0,40,40,QTSE,Point_generic,blk91301.ssf,10,357.141,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7720.217615,-448740.1808,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
43,0,0,41,41,QTSE,Point_generic,blk91301.ssf,10,356.069,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0835829,33.97679649, ,0,0,0,0,42,64,0,0,41,41,QTSE,Point_generic,blk91301.ssf,10,356.069,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7722.899165,-448737.8524,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
44,0,0,42,42,2 QTA,Point_generic,blk91301.ssf,11,354.703,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836227,33.976838, ,0,0,0,0,43,65,0,0,42,42,2 QTA,Point_generic,blk91301.ssf,11,354.703,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7726.576271,-448733.2449,adult,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
45,0,0,43,43,QTB,Point_generic,blk91301.ssf,10,353.637,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836521,33.97686799, ,0,0,0,0,44,66,0,0,43,43,QTB,Point_generic,blk91301.ssf,10,353.637,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7729.290933,-448729.9155,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
46,0,0,44,44,QTB,Point_generic,blk91301.ssf,10,351.826,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836765,33.9768866, ,0,0,0,0,45,67,0,0,44,44,QTB,Point_generic,blk91301.ssf,10,351.826,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.542706,-448727.8496,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
47,0,0,45,45,QTB,Point_generic,blk91301.ssf,10,352.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-120.0836416,33.97689704, ,0,0,0,0,46,68,0,0,45,45,QTB,Point_generic,blk91301.ssf,10,352.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7728.321383,-448726.6942,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
