Age,POINT_X,POINT_Y
adult,-7906.370763,-448747.7191
adult,-7741.38267,-448737.3102
adult,-7731.336475,-448737.8549
adult,-7726.576271,-448733.2449
young,-7724.313837,-448728.5617
adult,-7721.955621,-448729.1308
adult,-7665.877586,-448720.0266
young,-6647.575585,-447973.9603
adult,-6667.823617,-447944.1189
adult,-6664.506783,-447943.9662
adult,-6616.906697,-447942.6126
adult,-6614.232507,-447945.1908
adult,-6613.186607,-447928.7228
adult,-6609.337113,-447929.5857
adult,-6605.058334,-447922.2118
adult,-6572.043505,-447934.4292
adult,-6551.324898,-447907.7891
young,-5780.03394,-446836.2509
young,-5782.715421,-446833.9224
young,-5777.448258,-446833.3269
adult,-6431.860653,-448204.7675
adult,-6417.819237,-448188.4307
young,-7525.813638,-448169.8583
adult,-6687.895636,-447621.3341
adult,-6696.324709,-447642.6347
adult,-6422.316358,-448195.957
adult,-6418.709727,-448188.9837
young,-7219.832021,-448496.7274
young,-7221.408883,-448488.1922
young,-7220.520967,-448486.9404
young,-7219.907762,-448487.4777
young,-7222.327111,-448485.9768
young,-7237.480031,-448473.2608
young,-7238.475093,-448475.9346
young,-8240.914305,-448742.1429
young,-8241.33279,-448742.8442
young,-8238.805418,-448740.4863
young,-8268.402085,-448629.8294
young,-8154.870478,-448618.109
young,-8110.924749,-448580.9551
young,-7167.900417,-448472.1712
young,-7186.237774,-448441.2307
adult,-7175.683623,-448436.0551
young,-7167.105457,-448435.0609
adult,-7906.370763,-448747.7191
adult,-7741.38267,-448737.3102
adult,-7731.336475,-448737.8549
adult,-7726.576271,-448733.2449
young,-7724.313837,-448728.5617
adult,-7721.955621,-448729.1308
adult,-7665.877586,-448720.0266
young,-6647.575585,-447973.9603
adult,-6667.823617,-447944.1189
adult,-6664.506783,-447943.9662
adult,-6616.906697,-447942.6126
adult,-6614.232507,-447945.1908
adult,-6613.186607,-447928.7228
adult,-6609.337113,-447929.5857
adult,-6605.058334,-447922.2118
adult,-6572.043505,-447934.4292
adult,-6551.324898,-447907.7891
young,-5780.03394,-446836.2509
young,-5782.715421,-446833.9224
young,-5777.448258,-446833.3269
adult,-6431.860653,-448204.7675
adult,-6417.819237,-448188.4307
young,-7525.813686,-448169.8582
adult,-6637.687727,-447565.0665
adult,-6687.895615,-447621.3341
adult,-6696.324724,-447642.6347
adult,-6422.316395,-448195.957
adult,-6418.709693,-448188.9837
young,-7219.832066,-448496.7274
young,-7221.408926,-448488.1922
young,-7220.520962,-448486.9405
young,-7219.907783,-448487.4777
young,-7222.327111,-448485.9769
young,-7237.479983,-448473.2608
young,-7238.475066,-448475.9346
young,-8240.914306,-448742.1429
young,-8241.332745,-448742.8442
young,-8238.805424,-448740.4863
young,-8268.402053,-448629.8294
young,-8154.870469,-448618.109
young,-8110.924708,-448580.9551
young,-7167.900382,-448472.1712
young,-7186.237741,-448441.2307
adult,-7175.683592,-448436.0551
young,-7167.105407,-448435.0609
young,-6720.062579,-448080.0752
