Uniq_ID,COMMENT,Age,DBH,Stems,Extra
0,QTY MANY,young,,,Many
1,QTA 12 TO 15IN DBH 10TREESMAYBE,adult,12,10,
2,QTSE,seedling,,,
3,QTA QTY 30 TO 50 STEMS,adult,,30,1 young
4,QTB,unknown,,,
5,QTB,unknown,,,
6,QTSE,seedling,,,
7,QTB,unknown,,,
8,QTB,unknown,,,
9,QTB,unknown,,,
10,QTSE,seedling,,,
11,QTB,unknown,,,
12,QTSE,seedling,,,
13,QTB,unknown,,,
14,QTB,unknown,,,
15,QTB,unknown,,,
16,QTSE,seedling,,,
17,QTSE,seedling,,,
18,QTSE,seedling,,,
19,QTB,unknown,,,
20,QTB,unknown,,,
21,QTSE,seedling,,,
22,QTSE,seedling,,,
23,QTSE,seedling,,,
24,QTSE,seedling,,,
25,QTA QTY POSSIBLY 100 STEMS,young,,100,1 adult
26,QTB,unknown,,,
27,3 QTSE,seedling,,3,
28,QTSE,seedling,,,
29,QTA,adult,,,
30,QTB,unknown,,,
31,QTB,unknown,,,
32,QTSE,seedling,,,
33,QTSE,seedling,,,
34,QTSE,seedling,,,
35,QTB,unknown,,,
36,QTSE,seedling,,,
37,QTSE OR QTB,seedling,,,
38,QTSE,seedling,,,
39,QTSE,seedling,,,
40,QTSE,seedling,,,
41,2 QTA,adult,,2,
42,QTB,unknown,,,
43,QTB,unknown,,,
44,QTB,unknown,,,
45,QTB,unknown,,,
46,QTB QTY,young,,,
47,QTA QTY QTB MAYBE 30 STEMS,adult,,30,1 young
48,QTB,unknown,,,
49,QTBB,unknown,,,
50,4 QTSE,seedling,,4,
51,QTB,unknown,,,
52,QTB,unknown,,,
53,QTSE,seedling,,,
54,QTB,unknown,,,
55,QTSE,seedling,,,
56,QTSE,seedling,,,
57,QTSE QTB 10FT DOWNHILLMAYBE30QTY,seedling,,30,downhill
58,QTSE QTSP,sapling,,,1 seedling
59,4 QTSE,seedling,,4,
60,QTB QTSP,sapling,,,
61,QTB,unknown,,,
62,QTB,unknown,,,
63,QTB,unknown,,,
64,QTSE,seedling,,,
65,QTA,adult,,,
66,2 QTSE,seedling,,2,
67,QTB,unknown,,,
68,QTB,unknown,,,
69,QTB,unknown,,,
70,QTB,unknown,,,
71,QTB,unknown,,,
72,QTA,adult,,,
73,QTSP,sapling,,,
74,2QTY QTB,young,,2,
75,8QTA 1QTY,adult,,8,1 young
76,5 QTSE,seedling,,5,
77,QTB,unknown,,,
78,1QTA 2QTY QTB,adult,,,2 young
79,QTSP,sapling,,,
80,QTB,unknown,,,
81,QTB,unknown,,,
82,QTY,young,,,
83,QTB,unknown,,,
84,QTB,unknown,,,
85,QTSE,seedling,,,
86,QTSP,sapling,,,
87,QTY,young,,,
88,QTA,adult,,,
89,1 TO 3QTA 1QTY,adult,,1 to 3 adult,1 young
90,QTSP,sapling,,,
91,2QTA,adult,,2,
92,2QTY NOT QTA,young,,2,
93,QTA,adult,,,
94,QTA QTB,adult,,,
95,QTSE,seedling,,,
96,LARGE QTSE,seedling,,,large
97,QTY QTSE QTSP,young,,,seedling and sapling
98,QTSE,seedling,,,
99,QTA,adult,,,
100,QTA,adult,,,
101,QTA 2STEM,adult,,2,
102,QTA STUMP,adult,,,stump
103,QTSE,seedling,,,
104,QTA STUMP,adult,,,stump
105,QTA,adult,,,
106,QTA,adult,,,
107,QTSP,sapling,,,
108,QTB,unknown,,,
109,QTB,unknown,,,
110,QTSE,seedling,,,
111,QTSE,seedling,,,
112,QTB,unknown,,,
113,QTA,adult,,,
114,QTB,unknown,,,
115,QTSE,seedling,,,
116,QTSE,seedling,,,
117,QTB,unknown,,,
118,QTB,unknown,,,
119,QTSE,seedling,,,
120,QTB,unknown,,,
121,QTB,unknown,,,
122,QTSP,sapling,,,
123,QTA QTY QTB,adult,,,1 young
124,QTSE,seedling,,,
125,LARGE QTB,unknown,,,large
126,QTB,unknown,,,
127,QTB,unknown,,,
128,QAB,adult,,,
129,QTB,unknown,,,
130,QTB,unknown,,,
131,QTB,unknown,,,
132,QTB QTSP,sapling,,,
133,QTB,unknown,,,
134,QTA QTY SEVERAL LG CANOPY,adult,,,"several young, large canopy"
135,QTSE,seedling,,,
136,QTB,unknown,,,
137,QTB,unknown,,,
138,QTB QTSP,sapling,,,
139,QTB,unknown,,,
140,QTB,unknown,,,
141,QTB QTSP,sapling,,,
142,QTA,adult,,,
143,QTA,adult,,,
144,7QTA 1QTY,adult,,7,1 young
145,QTA,adult,,,
146,QTA QTY ABOUT 50 STEMS QTSE QTB,seedling,,50,"1 young, 1 adult"
147,QTY,young,,,
148,QTY,young,,,
149,QTY,young,,,
150,QTB,unknown,,,
151,QTSE,seedling,,,
152,QTSE,seedling,,,
153,QTSE,seedling,,,
154,QTSE,seedling,,,
155,QTSE,seedling,,,
156,QTSE,seedling,,,
157,QTSE,seedling,,,
158,QTA QTY 13 STEMS,young,,13,1 adult
159,QTB HUGE BUSH,unknown,,,huge bush
160,QTA,adult,,,
161,QTB,unknown,,,
162,QTSE,seedling,,,
163,QTSE,seedling,,,
164,QTSE,seedling,,,
165,QTA,adult,,,
166,QTSE,seedling,,,
167,qtse,seedling,,,
168,5qta approx 10qty,young,,10,5 adult
169,qtse,seedling,,,
170,qtse,seedling,,,
171,2qtse,seedling,,,
172,qtb,unknown,,,
173,qtb,unknown,,,
174,QTSE,seedling,,,
