OBJECTID,AREA,PERIMETER,ZN10OAKS_,ZN10OAKS_I,COMMENT,FEAT_NAME,DATAFILE,UNFILT_POS,GPS_HEIGHT,FILESOURCE,MAX_PDOP,CORR_TYPE,STD_DEV,HORZ_PREC,VERT_PREC,POINT_X,POINT_Y,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,FID_1,FID1,AREA_1,PERIMETE_1,ZN10OAKS1,ZN10OAKS_1,COMMENT_1,FEAT_NAM_1,DATAFILE_1,UNFILT_P_1,GPS_HEIG_1,FILESOUR_1,MAX_PDOP_1,CORR_TYP_1,STD_DEV_1,HORZ_PRE_1,VERT_PRE_1,POINT_X_1,POINT_Y_1,Age,Age_2,cwd,fog,ppt,tmn,tmx
1,0,0,414,414,7 STEMS 5 TO 20 IN DBH APPROX,Point_generic,soledad3.ssf,64,453.459,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-10116.58767,-451640.1213, ,0,0,0,0,0,17,0,0,414,414,7 STEMS 5 TO 20 IN DBH APPROX,Point_generic,soledad3.ssf,64,453.459,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-10116.58767,-451640.1213,unknown,unknown,845.1630249,0.348405987,580.5969849,7.552800179,19.75580025
2,0,0,496,496,1IND 10INCH DBH APPROX,Point_generic,arlingtn.ssf,41,339.952,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11341.34813,-452154.8889, ,0,0,0,0,1,18,0,0,496,496,1IND 10INCH DBH APPROX,Point_generic,arlingtn.ssf,41,339.952,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11341.34813,-452154.8889,unknown,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
3,0,0,497,497,1IND 20IN DBH HORIZ PILLBUGS,Point_generic,arlingtn.ssf,53,340.547,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11340.61343,-452155.4104, ,0,0,0,0,2,19,0,0,497,497,1IND 20IN DBH HORIZ PILLBUGS,Point_generic,arlingtn.ssf,53,340.547,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11340.61343,-452155.4104,unknown,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
4,0,0,498,498,1IND 25IN DBH ROOTS EXPOSED,Point_generic,arlingtn.ssf,36,341.469,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11339.8934,-452156.4314, ,0,0,0,0,3,20,0,0,498,498,1IND 25IN DBH ROOTS EXPOSED,Point_generic,arlingtn.ssf,36,341.469,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11339.8934,-452156.4314,unknown,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
5,0,0,499,499,4STEM BIG 20 TO 30 DBH GROWUPCYN,Point_generic,arlingtn.ssf,101,345.827,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11345.94329,-452160.2536, ,0,0,0,0,4,21,0,0,499,499,4STEM BIG 20 TO 30 DBH GROWUPCYN,Point_generic,arlingtn.ssf,101,345.827,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11345.94329,-452160.2536,unknown,unknown,840.5969849,0.295453012,577.9069824,7.487800121,19.7317009
6,0,0,501,501,STUMP OR ROOT SPROUT 2,Point_generic,arlingtn.ssf,38,344.892,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11342.94223,-452158.0918, ,0,0,0,0,5,23,0,0,501,501,STUMP OR ROOT SPROUT 2,Point_generic,arlingtn.ssf,38,344.892,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-11342.94223,-452158.0918,sprout,unknown,851.6400146,0.288145989,571.6829834,7.517099857,19.89719963
7,0,0,4,4,QTA QTY 30 TO 50 STEMS,Point_generic,blk91301.ssf,14,347.079,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7906.370763,-448747.7191, ,0,0,0,0,6,27,0,0,4,4,QTA QTY 30 TO 50 STEMS,Point_generic,blk91301.ssf,14,347.079,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7906.370763,-448747.7191,adult,young,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
8,0,0,5,5,QTB,Point_generic,blk91301.ssf,10,348.285,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7901.444993,-448748.1136, ,0,0,0,0,7,28,0,0,5,5,QTB,Point_generic,blk91301.ssf,10,348.285,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7901.444993,-448748.1136,unknown,unknown,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
9,0,0,6,6,QTB,Point_generic,blk91301.ssf,10,349.346,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7895.685446,-448747.7826, ,0,0,0,0,8,29,0,0,6,6,QTB,Point_generic,blk91301.ssf,10,349.346,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7895.685446,-448747.7826,unknown,unknown,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
10,0,0,7,7,QTSE,Point_generic,blk91301.ssf,10,348.743,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7897.636108,-448743.9757, ,0,0,0,0,9,30,0,0,7,7,QTSE,Point_generic,blk91301.ssf,10,348.743,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7897.636108,-448743.9757,seedling,unknown,890.5570068,0.354092002,537.5900269,7.443600178,20.63260078
