FID,POINT_X,POINT_Y
9,-7897.636108,-448743.9757
12,-7765.104614,-448727.8651
14,-7767.85972,-448723.7846
18,-7760.428401,-448732.5019
19,-7760.002178,-448735.0142
20,-7747.766427,-448741.8725
23,-7742.741552,-448741.02
24,-7740.214449,-448740.0942
25,-7741.599335,-448738.3037
26,-7742.95111,-448737.5142
29,-7739.579119,-448737.6131
30,-7735.894907,-448737.7211
34,-7733.676019,-448743.0358
35,-7733.172685,-448745.0504
36,-7731.409579,-448744.6021
38,-7723.501156,-448745.5841
39,-7723.545381,-448742.833
40,-7721.066056,-448741.4059
41,-7720.217615,-448740.1808
42,-7722.899165,-448737.8524
52,-7713.021858,-448739.892
55,-7704.503886,-448737.1421
57,-7705.77855,-448735.8548
58,-7704.063223,-448734.9052
59,-7704.283668,-448733.8988
60,-7702.116338,-448736.7122
61,-7701.308116,-448738.9857
62,-7699.166564,-448740.5484
67,-7667.861135,-448719.4685
75,-6664.902956,-447953.2038
78,-6661.604574,-447951.5507
83,-6603.258352,-447924.7644
86,-6598.611514,-447930.4002
87,-6598.317505,-447933.1586
91,-6595.100265,-447925.7536
92,-6595.184704,-447926.5011
94,-6578.71737,-447938.2331
97,-6576.476251,-447947.0481
99,-6572.664396,-447932.1612
105,-6574.708529,-447899.6039
109,-6576.700064,-447692.8127
114,-6437.370598,-448200.8562
115,-6435.18154,-448198.6706
116,-6433.631321,-448201.2159
117,-6433.679102,-448200.7145
118,-6437.226997,-448206.6099
119,-6436.485007,-448206.8817
124,-6432.698721,-448194.9938
125,-6434.123795,-448196.7018
126,-6432.558914,-448198.7475
127,-6961.235159,-447362.5583
128,-6963.659552,-447359.9873
131,-6977.62925,-447344.0787
134,-6977.882796,-447342.0714
145,-7476.98035,-448148.7117
147,-7455.944164,-448158.2313
148,-7460.349173,-448156.5719
150,-7399.554038,-448187.3245
155,-7387.379729,-448346.7233
156,-7388.529258,-448354.9306
158,-7377.480748,-448368.1928
159,-7372.487284,-448366.3792
160,-7381.365346,-448376.4297
161,-7396.405486,-448364.2395
162,-7398.704719,-448364.2231
167,-7493.655597,-448242.167
168,-7495.57735,-448239.1162
170,-7528.578879,-448168.8687
171,-7529.996681,-448168.1588
179,-6686.747513,-447623.7804
182,-6705.481279,-447604.5655
185,-6636.187843,-447548.3945
186,-6634.242678,-447546.1342
193,-6439.533941,-448208.2365
195,-6439.661534,-448201.8387
196,-6435.238955,-448198.0989
197,-6434.273767,-448199.0517
198,-6434.919438,-448196.9498
199,-6985.140416,-448160.3252
200,-6982.871529,-448162.6999
201,-6983.15065,-448163.9103
202,-6981.96111,-448161.1653
203,-6984.797671,-448169.2303
204,-6969.691522,-448166.7891
209,-6964.319,-448128.2978
218,-7239.00152,-448476.2393
220,-7268.131489,-448465.3648
221,-7266.374688,-448468.3634
240,-8256.780185,-448591.9377
244,-8225.487926,-448509.0546
251,-8152.318642,-448615.3605
268,-7190.362226,-448450.4923
272,-7193.70713,-448450.8713
281,-7165.218629,-448414.6783
282,-7153.879894,-448393.1967
283,-7154.281921,-448394.9285
307,-7897.636108,-448743.9757
310,-7765.104614,-448727.8651
312,-7767.85972,-448723.7846
316,-7760.428401,-448732.5019
317,-7760.002178,-448735.0142
318,-7747.766427,-448741.8725
321,-7742.741552,-448741.02
322,-7740.214449,-448740.0942
323,-7741.599335,-448738.3037
324,-7742.95111,-448737.5142
327,-7739.579119,-448737.6131
328,-7735.894907,-448737.7211
332,-7733.676019,-448743.0358
333,-7733.172685,-448745.0504
334,-7731.409579,-448744.6021
336,-7723.501156,-448745.5841
337,-7723.545381,-448742.833
338,-7721.066056,-448741.4059
339,-7720.217615,-448740.1808
340,-7722.899165,-448737.8524
350,-7713.021858,-448739.892
353,-7704.503886,-448737.1421
355,-7705.77855,-448735.8548
356,-7704.063223,-448734.9052
357,-7704.283668,-448733.8988
358,-7702.116338,-448736.7122
359,-7701.308116,-448738.9857
360,-7699.166564,-448740.5484
365,-7667.861135,-448719.4685
373,-6664.902956,-447953.2038
376,-6661.604574,-447951.5507
381,-6603.258352,-447924.7644
384,-6598.611514,-447930.4002
385,-6598.317505,-447933.1586
389,-6595.100265,-447925.7536
390,-6595.184704,-447926.5011
392,-6578.71737,-447938.2331
395,-6576.476251,-447947.0481
397,-6572.664396,-447932.1612
403,-6574.708529,-447899.6039
407,-6576.700064,-447692.8127
412,-6437.370598,-448200.8562
413,-6435.18154,-448198.6706
414,-6433.631321,-448201.2159
415,-6433.679102,-448200.7145
416,-6437.226997,-448206.6099
417,-6436.485007,-448206.8817
422,-6432.698721,-448194.9938
423,-6434.123795,-448196.7018
424,-6432.558914,-448198.7475
425,-6961.235159,-447362.5583
426,-6963.659552,-447359.9873
429,-6977.62925,-447344.0787
432,-6977.882796,-447342.0714
443,-7476.980318,-448148.7118
445,-7455.944203,-448158.2314
446,-7460.349157,-448156.5719
448,-7399.554058,-448187.3245
453,-7387.379776,-448346.7233
454,-7388.529269,-448354.9306
456,-7377.480757,-448368.1928
457,-7372.487326,-448366.3792
458,-7381.365356,-448376.4297
459,-7396.40551,-448364.2395
460,-7398.704766,-448364.2231
465,-7493.65562,-448242.167
466,-7495.577378,-448239.1162
468,-7528.578899,-448168.8687
469,-7529.996716,-448168.1588
477,-6686.74755,-447623.7804
480,-6705.481273,-447604.5655
483,-6636.187831,-447548.3945
484,-6634.242635,-447546.1342
491,-6439.533989,-448208.2365
493,-6439.661502,-448201.8386
494,-6435.238961,-448198.0988
495,-6434.273813,-448199.0517
496,-6434.91948,-448196.9498
497,-6985.140377,-448160.3252
498,-6982.871572,-448162.6999
499,-6983.150657,-448163.9102
500,-6981.961129,-448161.1653
501,-6984.797672,-448169.2303
502,-6969.691527,-448166.7892
507,-6964.319035,-448128.2978
516,-7239.001504,-448476.2393
518,-7268.131536,-448465.3647
519,-7266.374711,-448468.3634
538,-8256.780218,-448591.9377
542,-8225.4879,-448509.0546
549,-8152.318649,-448615.3604
566,-7190.362199,-448450.4923
570,-7193.707133,-448450.8713
579,-7165.218594,-448414.6783
580,-7153.879867,-448393.1967
581,-7154.281886,-448394.9285
637,-6790.679277,-448135.2491
638,-6793.426794,-448135.1685
643,-6772.072309,-448114.5467
671,-6733.21446,-448108.687
672,-6734.944427,-448110.1361
674,-6745.427609,-448109.5786
677,-6740.814119,-448109.9639
679,-6742.574389,-448095.4135
705,-10803.90491,-452284.8958
706,-10803.49355,-452283.6579
